iter	RMSE
0	14.68041191
1	14.30531969
2	13.9380114
3	13.58101234
4	13.24039988
5	12.92896006
6	12.61781027
7	12.32294376
8	12.08411939
9	11.78368586
10	11.49524792
11	11.25700054
12	10.99294399
13	10.74922501
14	10.51443969
15	10.27863092
16	10.06044364
17	9.84770177
18	9.655893038
19	9.468355184
20	9.313393555
21	9.15223996
22	8.991496669
23	8.825422209
24	8.678645082
25	8.541412721
26	8.400359383
27	8.273995683
28	8.140509964
29	8.020214228
30	7.896379662
31	7.785748751
32	7.687641469
33	7.588648202
34	7.483416768
35	7.389433442
36	7.29676307
37	7.214829452
38	7.133655579
39	7.055162252
40	6.984340811
41	6.917023178
42	6.84132377
43	6.781272937
44	6.714718814
45	6.647711549
46	6.586641442
47	6.533972853
48	6.478413559
49	6.431538336
50	6.383976619
51	6.331998524
52	6.285194702
53	6.23237215
54	6.188821772
55	6.148583208
56	6.11596231
57	6.081454273
58	6.051165906
59	6.02000545
60	5.983930484
61	5.957427767
62	5.92423149
63	5.886116349
64	5.859323827
65	5.828038684
66	5.799013256
67	5.768392275
68	5.750750902
69	5.726368949
70	5.703598884
71	5.67721212
72	5.654915735
73	5.635263493
74	5.615131596
75	5.597215012
76	5.580876901
77	5.561856315
78	5.546579804
79	5.526473494
80	5.515287924
81	5.497282695
82	5.483434946
83	5.469193704
84	5.463357565
85	5.449126777
86	5.437034892
87	5.421231245
88	5.410510321
89	5.399681276
90	5.383976876
91	5.372678142
92	5.361560535
93	5.353461222
94	5.343506749
95	5.329117328
96	5.316685656
97	5.308335927
98	5.302294921
99	5.287773032
100	5.280206823
101	5.270533955
102	5.262409153
103	5.251280634
104	5.244321966
105	5.235406764
106	5.227306037
107	5.22003898
108	5.212878429
109	5.20419564
110	5.194862812
111	5.187408053
112	5.181891367
113	5.173146593
114	5.168855912
115	5.166139042
116	5.159592971
117	5.154731958
118	5.151074843
119	5.143170901
120	5.136907297
121	5.133842196
122	5.1259113
123	5.120772942
124	5.114405939
125	5.107385818
126	5.100547123
127	5.09392516
128	5.086088939
129	5.080925857
130	5.072808872
131	5.065865763
132	5.06051087
133	5.056277852
134	5.054291251
135	5.050644331
136	5.04761879
137	5.042169709
138	5.034550057
139	5.030926412
140	5.030369595
141	5.026561877
142	5.022389104
143	5.019317571
144	5.014477788
145	5.011792752
146	5.00744127
147	5.004784505
148	5.001843685
149	4.995909034
150	4.989605035
151	4.98549235
152	4.980720095
153	4.978955913
154	4.975019651
155	4.967781106
156	4.963676463
157	4.958603278
158	4.955984537
159	4.953689403
160	4.951500425
161	4.94392223
162	4.939481119
163	4.937054533
164	4.932849097
165	4.92761042
166	4.923956557
167	4.917946686
168	4.91327456
169	4.907791808
170	4.904199957
171	4.903059392
172	4.899949335
173	4.89520597
174	4.892486888
175	4.890227678
176	4.884327833
177	4.879624111
178	4.874633391
179	4.872762617
180	4.866065108
181	4.861273631
182	4.858488525
183	4.85732771
184	4.849804228
185	4.846650261
186	4.843129615
187	4.841141542
