iter	Passed	Remaining
0	2	255
1	4	231
2	7	230
3	9	216
4	11	212
5	13	207
6	14	197
7	16	192
8	18	186
9	19	179
10	21	172
11	22	167
12	24	160
13	25	156
14	26	151
15	28	147
16	28	141
17	30	137
18	31	132
19	32	129
20	33	126
21	34	122
22	35	119
23	36	116
24	38	114
25	39	111
26	40	109
27	41	106
28	41	102
29	42	99
30	43	96
31	44	93
32	45	91
33	45	88
34	46	86
35	47	84
36	47	81
37	48	79
38	49	77
39	50	75
40	50	73
41	51	71
42	52	69
43	53	67
44	54	66
45	55	65
46	56	63
47	57	61
48	58	60
49	59	59
50	59	57
51	60	56
52	61	54
53	62	53
54	63	51
55	63	50
56	64	48
57	65	47
58	66	45
59	66	44
60	67	43
61	68	41
62	68	40
63	69	39
64	70	37
65	71	36
66	71	35
67	72	34
68	73	32
69	73	31
70	74	30
71	74	29
72	75	27
73	75	26
74	76	25
75	76	24
76	77	23
77	77	21
78	78	20
79	79	19
80	79	18
81	80	17
82	80	16
83	81	15
84	81	14
85	82	13
86	82	12
87	83	11
88	84	10
89	84	9
90	85	8
91	85	7
92	86	6
93	87	5
94	87	4
95	88	3
96	88	2
97	89	1
98	89	0
99	90	0
